inward_dt,unit,inward_no,item_mark,vakkal,lot_no,no_of_cartons,weight_kg,total_inventory_kgs,group_name,item_description,storage_location,exporter,last_purchase_rate,value
2023-07-24,D-39,GR5903,WHITE POWDER,V-2,56059,39,10,390,Date Powder,10KG AL BARAKAH DATE POWDER V2,Savla,AL BARAKAH,215,83850
2023-12-06,D-39,GR14501,BASOOR=OMAN DRY DATES,GRADE 2,77517,49,7,343,Dry Dates,DRY DATES-GRADE 2,Savla,NAKHEEL,241,82663
2023-12-06,D-39,GR14501,BASOOR=OMAN DRY DATES,GRADE 2,77517,14,7,98,Dry Dates,DRY DATES-GRADE 2,Savla,NAKHEEL,241,23618
2023-12-06,D-39,GR14501,BASOOR=OMAN DRY DATES,GRADE 2,77517,9,7,63,Dry Dates,DRY DATES-GRADE 2,Savla,NAKHEEL,241,15183
2023-12-06,D-39,GR14501,BASOOR=OMAN DRY DATES,GRADE 2,77517,3,7,21,Dry Dates,DRY DATES-GRADE 2,Savla,NAKHEEL,241,5061
2023-12-25,D-39,GR15667,-,CUTT,79450,6,15,90,Dry Dates,Seedless Chopped Red Kharik Dry Dates,Savla,Local,250,22500
2024-03-27,D-39,GR21140,KALMI DATES,SAFAVI,90088,2,5,10,Premium Dates,Wet Dates Safavi,Savla,Local,550,5500
2024-03-27,D-39,GR21140,SAFAVI DATES,WHITE,90090,2,5,10,Premium Dates,Wet Dates Safavi,Savla,Local,550,5500
2024-03-30,D-39,GR21328,SAFAVI 5KG,ROYAL DELIGHT,90507,3,5,15,Premium Dates,Wet Dates Safavi,Savla,Local,550,8250
2024-05-30,D-514,GR1590,SAFAWI DATES BROWN BOX,-,71103,1,10,10,Premium Dates,Wet Dates Safavi,Savla,Local,550,5500
2024-05-30,D-514,GR1590,SAFAWI DATES,BROWN & WHITE,71102,1,20,20,Premium Dates,Wet Dates Safavi,Savla,Local,550,11000
2024-06-06,D-39,GR3498,BROWN,-,97941,1,10.896,10.896,Premium Dates,Wet Dates Deglet,Savla,Hadiklaim,522,5687.712
2024-06-12,D-514,GR1968,SAFAWI WHITE BOX,-,71480,1,10,10,Premium Dates,Wet Dates Safavi,Savla,Local,550,5500
2024-06-12,D-514,GR1968,SAFAWI WHITE,-,71478,1,20,20,Premium Dates,Wet Dates Safavi,Savla,Local,550,11000
2024-07-27,D-39,GR6534,WHITE,V-2,93289,114,10,1140,Date Powder,10KG AL BARAKAH DATE POWDER V2,Savla,AL BARAKAH,215,245100
2024-07-27,D-39,GR6534,WHITE,V-2,93289,77,10,770,Date Powder,10KG AL BARAKAH DATE POWDER V2,Savla,AL BARAKAH,215,165550
2024-09-27,D-39,GR10651,WHITE,-,110715,98,10,980,Dry Dates,AL BARAKAH CHOPPED DATES,Savla,AL BARAKAH,110,107800
2024-10-02,D-514,GR4752,ARSH SUKKARY PREMIUM,4.3 KG,75214,111,12,1332,Economical Dates,Wet Dates (Sukkary),Savla,Local,350,466200
2024-10-02,D-514,GR4750,DEGLET NOUR BRANCHES,1299205412,75207,7,5,35,Premium Dates,Wet Dates Deglet,Savla,Hadiklaim,510,17850
2024-11-25,D-39,GR14538,SAAD/ BROWN,BLACK,121319,17,10,170,Economical Dates,AL BARAKAH LULU BLACK DATES-10KG,Savla,AL BARAKAH,182,30940
2024-12-01,D-39,GR14927,SAFAVI DATES,-,122342,3,20,60,Premium Dates,Wet Dates Safavi,Savla,Local,550,33000
2024-12-10,D-39,GR15535,DATE CRUSHED,WHITE,123526,60,10,600,Dry Dates,AL BARAKAH CRUSHED DATES 10KG,Savla,AL BARAKAH,116.6,69960
2024-12-10,D-39,GR15535,DATE POWDER V2,WHITE,123525,923,10,9230,Date Powder,10KG AL BARAKAH DATE POWDER V2,Savla,AL BARAKAH,215,1984450
2025-01-15,D-514,GR7072,SIFA  AJWA S,74229,79000,38,5,190,Premium Dates,Wet Dates Ajwa,Savla,Local,980,186200
2025-01-15,D-514,GR7072,SIAFA  AJWA G,74228,78999,59,5,295,Premium Dates,Wet Dates Ajwa,Savla,Local,980,289100
2025-01-24,D-39,GR18618,AL BARAKAH DATES,DATES POWDER,129815,866,10,8660,Date Powder,10KG AL BARAKAH DATE POWDER V1,Savla,AL BARAKAH,270,2338200
2025-02-10,D-514,GR7683,DATES WET MEDJOUL BABY,5KGX3,79912,9,15,135,Premium Dates,WET DATES MEDJOUL BULK MINI (5),Savla,Hadiklaim,477,64395
2025-02-10,D-514,GR7683,DATE MEDJOUL KING SOLOMON,500 GM,79910,59,8,472,Premium Dates,WET DATES MEDJOUL BULK LARGE (5),Savla,Hadiklaim,817,385624
2025-02-10,D-514,GR7683,DATE MEDJOUL KING SOLOMON,1 KG,79911,7,8,56,Premium Dates,WET DATES MEDJOUL JUMBO,Savla,Hadiklaim,1045,58520
2025-02-11,D-514,GR7699,MEDJOUL SUPER JUMBO,NO.2,79952,9,5,45,Premium Dates,Off-Grade Dates,Savla,Hadiklaim,1139,51255
2025-02-26,D-39,GR20724,-,KING SOLOMON,133830,119,10,1190,Premium Dates,King Solomon Medjoul Dates 500 Gms,Savla,Hadiklaim,817,972230
2025-02-28,D-39,GR20841,DEGLET NOUR BRANCHES,1299205412,133992,1,5,5,Premium Dates,Wet Dates Deglet,Savla,Hadiklaim,510,2550
2025-03-05,D-39,GR21205,AL-BARKAH DATE,-,134588,1592,10,15920,Date Powder,10KG AL BARAKAH DATE POWDER V1,Savla,AL BARAKAH,270,4298400
2025-03-05,D-39,GR21205,AL-BARKAH DATE,-,134588,102,10,1020,Date Powder,10KG AL BARAKAH DATE POWDER V1,Savla,AL BARAKAH,270,275400
2025-03-07,D-39,GR21347,AL BARAKAH,DATE POWDER,134869,370,10,3700,Date Powder,10KG AL BARAKAH DATE POWDER V1,Savla,AL BARAKAH,270,999000
2025-03-19,D-514,GR8554,MDJL LARGE,NO-2,81382,4,5,20,Premium Dates,Off-Grade Dates,Savla,Hadiklaim,200,4000
2025-03-21,D-514,GR8597,ROYAL DELIGHT,AJWA,81466,73,5,365,Premium Dates,Royal Delight Ajwa Dates 5 Kgs,Savla,Local,980,357700
2025-03-24,D-39,GR22314,AL BARAKAH,SAFAVI 500G,132065,3,10,30,Premium Dates,Al Barakaha Safavi Dates 500g,Savla,,700,21000
2025-03-24,D-39,GR22314,RD SAFAVI,250GM,132067,17,5,85,Premium Dates,RD Safavi Dates 250g,Savla,Local,550,46750
2025-03-24,D-39,GR22314,ROYAL DELIGHT,ARABIAN 250G,132066,10,8,80,Economical Dates,Royal Delight Arabian 250gm,Savla,AL BARAKAH,116,9280
2025-03-31,D-514,GR8855,WANAN DATES,12.5 KG,81944,3,12.5,37.5,Organic Dates,Organic Wanan Premium Large,Savla,NAKHEEL,715,26812.5
2025-03-31,D-514,GR8855,SEQEE DATES,12.5 KG,81942,3,12.5,37.5,Organic Dates,Organic Seqee Premium Large,Savla,NAKHEEL,641,24037.5
2025-03-31,D-514,GR8855,SUKHARI BROWN BOX,1 KG,81934,1,10,10,Economical Dates,Wet Dates (Sukkary),Savla,Local,350,3500
2025-03-31,D-514,GR8855,KHIDRI,12.5 KG,81943,1,12.5,12.5,Organic Dates,Organic Khidri Premium Medium,Savla,NAKHEEL,403,5037.5
2025-03-31,D-514,GR8855,DEGLET BROWN BOX,500 GM,81937,10,5,50,Premium Dates,Wet Dates Deglet,Savla,Hadiklaim,510,25500
2025-04-07,D-39,GR465,CRUSHED WHITE,-,138382,3,10,30,Dry Dates,AL BARAKAH CRUSHED DATES 10KG,Savla,AL BARAKAH,127,3810
